prompt,response
"What is NASA's full name?","National Aeronautics and Space Administration"
"When was NASA established?","July 29, 1958"
"What is the main purpose of NASA?","To explore space, conduct scientific research, and develop advanced technology for aeronautics and space exploration"
"Who was the first American astronaut to orbit the Earth?","John Glenn"
"Name the first woman astronaut from the USA.","Sally Ride"
"What is the Hubble Space Telescope?","A large space-based observatory launched by NASA in 1990 to observe the universe and gather data across various wavelengths of light"
"What does the Mars Rover do?","It explores the surface of Mars, collecting data on the planet's geology, climate, and potential for past or present life"
"Which mission successfully landed humans on the Moon for the first time?","Apollo 11"
"Who were the first two astronauts to set foot on the Moon?","Neil Armstrong and Buzz Aldrin"
"What is the International Space Station?","A space station, or habitable artificial satellite, built and operated by a consortium of countries including the United States, Russia, Europe, Japan, and Canada for research and space exploration purposes"
